osu file format v14

[General]
AudioFilename: audio.mp3
AudioLeadIn: 0
PreviewTime: 29178
Countdown: 0
SampleSet: Soft
StackLeniency: 0.7
Mode: 0
LetterboxInBreaks: 0
WidescreenStoryboard: 1

[Editor]
DistanceSpacing: 1.2
BeatDivisor: 4
GridSize: 4
TimelineZoom: 1

[Metadata]
Title:Once Upon a Time
TitleUnicode:Once Upon a Time
Artist:toby fox
ArtistUnicode:toby fox
Creator:DaxMasterix
Version:Normal
Source:UNDERTALE
Tags:chiptune radiation Ferret
BeatmapID:917092
BeatmapSetID:424562

[Difficulty]
HPDrainRate:4
CircleSize:3.5
OverallDifficulty:4
ApproachRate:4
SliderMultiplier:1.5
SliderTickRate:1

[Events]
//Background and Video events
0,0,"BG.jpg",0,0
//Break Periods
//Storyboard Layer 0 (Background)
//Storyboard Layer 1 (Fail)
//Storyboard Layer 2 (Pass)
//Storyboard Layer 3 (Foreground)
//Storyboard Layer 4 (Overlay)
//Storyboard Sound Samples

[TimingPoints]
90,916.030534351145,4,2,0,40,1,0
75204,-100,4,2,0,35,0,0
77036,-100,4,2,0,30,0,0
78868,-100,4,2,0,25,0,0
80700,-100,4,2,0,20,0,0


[Colours]
Combo1 : 255,255,128
Combo2 : 128,255,128
Combo3 : 128,255,255
Combo4 : 255,128,128

[HitObjects]
44,318,90,1,0,0:0:0:0:
187,57,3754,5,0,0:0:0:0:
300,296,7418,5,0,0:0:0:0:
316,204,9250,5,0,0:0:0:0:
316,108,11082,5,0,0:0:0:0:
256,300,14746,5,0,0:0:0:0:
256,84,18410,5,0,0:0:0:0:
280,144,22074,5,0,0:0:0:0:
280,236,23906,1,0,0:0:0:0:
201,190,25738,1,0,0:0:0:0:
336,124,29173,5,0,0:0:0:0:
424,128,29860,1,0,0:0:0:0:
380,48,30319,1,0,0:0:0:0:
224,76,31235,5,0,0:0:0:0:
136,88,31693,1,0,0:0:0:0:
88,164,32151,1,2,0:0:0:0:
116,248,32609,1,0,0:0:0:0:
72,328,33067,1,0,0:0:0:0:
268,212,34899,5,0,0:0:0:0:
316,136,35357,1,0,0:0:0:0:
404,128,35815,1,2,0:0:0:0:
484,92,36273,1,0,0:0:0:0:
480,180,36731,1,0,0:0:0:0:
440,288,37418,1,0,0:0:0:0:
404,316,37647,1,0,0:0:0:0:
256,288,38563,1,0,0:0:0:0:
180,335,39021,1,0,0:0:0:0:
256,288,40395,5,0,0:0:0:0:
368,148,41311,1,2,0:0:0:0:
396,324,42227,5,0,0:0:0:0:
424,240,42685,1,0,0:0:0:0:
376,164,43143,1,2,0:0:0:0:
404,80,43601,1,0,0:0:0:0:
332,28,44059,1,0,0:0:0:0:
216,108,44975,5,0,0:0:0:0:
380,108,45891,1,0,0:0:0:0:
440,176,46349,1,0,0:0:0:0:
416,264,46807,1,2,0:0:0:0:
440,352,47265,1,0,0:0:0:0:
352,372,47723,1,0,0:0:0:0:
88,300,49555,5,0,0:0:0:0:
36,224,50013,1,0,0:0:0:0:
72,140,50471,1,2,0:0:0:0:
48,52,50929,1,0,0:0:0:0:
136,36,51387,1,0,0:0:0:0:
252,60,52074,1,0,0:0:0:0:
296,64,52303,1,0,0:0:0:0:
436,144,53219,1,0,0:0:0:0:
440,232,53677,1,0,0:0:0:0:
436,144,55051,5,0,0:0:0:0:
256,156,55967,1,2,0:0:0:0:
148,300,56883,5,0,0:0:0:0:
96,224,57341,1,0,0:0:0:0:
132,144,57799,1,2,0:0:0:0:
96,60,58257,1,0,0:0:0:0:
177,28,58715,1,0,0:0:0:0:
236,128,59631,5,2,0:0:0:0:
148,112,60089,1,2,0:0:0:0:
88,176,60548,1,0,0:0:0:0:
28,276,61464,5,2,0:0:0:0:
116,260,61922,1,2,0:0:0:0:
204,272,62380,1,0,0:0:0:0:
276,364,63296,5,2,0:0:0:0:
300,276,63754,1,2,0:0:0:0:
380,232,64212,1,0,0:0:0:0:
380,108,65128,5,2,0:0:0:0:
312,168,65586,1,2,0:0:0:0:
256,96,66044,1,0,0:0:0:0:
140,194,66960,5,0,0:0:0:0:
302,213,67876,5,0,0:0:0:0:
328,116,68792,5,0,0:0:0:0:
180,144,69708,5,0,0:0:0:0:
252,192,70624,5,0,0:0:0:0:
338,206,71540,5,0,0:0:0:0:
421,182,72456,5,0,0:0:0:0:
486,125,73372,5,2,0:0:0:0:
