osu file format v14

[General]
AudioFilename: audio.mp3
AudioLeadIn: 0
PreviewTime: -1
Countdown: 0
SampleSet: Normal
StackLeniency: 0.7
Mode: 0
LetterboxInBreaks: 0
WidescreenStoryboard: 0

[Editor]
DistanceSpacing: 1
BeatDivisor: 4
GridSize: 8
TimelineZoom: 1

[Metadata]
Title:Algorhythm
TitleUnicode:Algorhythm
Artist:Childish Gambino
ArtistUnicode:Childish Gambino
Creator:msdr
Version:Insane
Source:
Tags:Childish Gambino Algorhythm Donald Glover Rap Rhythm Dance 3.15.20
BeatmapID:0
BeatmapSetID:-1

[Difficulty]
HPDrainRate:5
CircleSize:4
OverallDifficulty:5
ApproachRate:8.7
SliderMultiplier:1.4
SliderTickRate:1

[Events]
//Background and Video events
0,0,"Background.png",0,0
//Break Periods
//Storyboard Layer 0 (Background)
//Storyboard Layer 1 (Fail)
//Storyboard Layer 2 (Pass)
//Storyboard Layer 3 (Foreground)
//Storyboard Layer 4 (Overlay)
//Storyboard Sound Samples

[TimingPoints]
10371,300,4,1,1,100,1,0
13221,-66.6666666666667,4,1,1,100,0,0
13446,-66.6666666666667,4,1,1,30,0,0
13821,-100,4,1,1,100,0,0
18021,-66.6666666666667,4,1,1,100,0,0
18246,-66.6666666666667,4,1,1,30,0,0
18621,-100,4,1,1,100,0,0
22821,-66.6666666666667,4,1,1,100,0,0
23046,-66.6666666666667,4,1,1,30,0,0
23421,-100,4,1,1,100,0,0
27621,-66.6666666666667,4,1,1,100,0,0
27846,-66.6666666666667,4,1,1,30,0,0
28221,-100,4,1,1,100,0,0
42096,-50,4,1,1,100,0,0
42396,-100,4,1,1,100,0,0
87280,4000,4,1,1,100,1,0


[Colours]
Combo1 : 192,192,192
Combo2 : 0,0,0
Combo3 : 255,255,255
Combo4 : 128,128,128

[HitObjects]
64,208,10370,5,4,1:1:0:0:
96,272,10521,1,0,0:0:0:0:
144,224,10671,1,0,0:0:0:0:
176,287,10821,1,0,0:0:0:0:
224,165,11571,5,4,1:1:0:0:
273,63,11721,1,0,0:0:0:0:
286,129,11871,1,0,0:0:0:0:
202,53,12021,1,0,0:0:0:0:
180,115,12171,1,0,0:0:0:0:
446,219,12771,5,4,1:1:0:0:
429,150,12921,1,0,0:0:0:0:
372,186,13071,1,0,0:0:0:0:
355,117,13221,1,0,0:0:0:0:
192,288,13971,5,4,1:1:0:0:
256,240,14121,1,0,0:0:0:0:
176,208,14271,1,0,0:0:0:0:
192,288,14421,1,0,0:0:0:0:
272,320,14571,1,0,0:0:0:0:
64,208,15171,5,4,1:1:0:0:
96,272,15321,1,0,0:0:0:0:
144,224,15471,1,0,0:0:0:0:
176,287,15621,1,0,0:0:0:0:
160,112,16371,5,4,1:1:0:0:
221,165,16521,1,0,0:0:0:0:
286,129,16671,1,0,0:0:0:0:
200,42,16821,1,0,0:0:0:0:
277,54,16971,1,0,0:0:0:0:
32,80,17571,5,4,1:1:0:0:
112,64,17721,1,0,0:0:0:0:
96,144,17871,1,0,0:0:0:0:
149,203,18021,1,0,0:0:0:0:
320,256,18771,5,4,1:1:0:0:
272,320,18921,1,0,0:0:0:0:
384,304,19071,1,0,0:0:0:0:
336,368,19221,1,0,0:0:0:0:
336,368,19371,1,0,0:0:0:0:
332,178,19971,5,4,1:1:0:0:
333,250,20126,1,0,0:0:0:0:
269,230,20271,1,0,0:0:0:0:
270,300,20421,1,0,0:0:0:0:
170,215,21171,5,4,1:1:0:0:
79,148,21321,1,0,0:0:0:0:
99,213,21471,1,0,0:0:0:0:
137,106,21621,1,0,0:0:0:0:
186,150,21771,1,0,0:0:0:0:
466,124,22371,5,4,1:1:0:0:
396,88,22526,1,0,0:0:0:0:
418,179,22671,1,0,0:0:0:0:
351,149,22821,1,0,0:0:0:0:
192,288,23571,5,4,1:1:0:0:
256,240,23721,1,0,0:0:0:0:
176,208,23871,1,0,0:0:0:0:
192,288,24021,1,0,0:0:0:0:
272,320,24171,1,0,0:0:0:0:
64,208,24771,5,4,1:1:0:0:
96,272,24921,1,0,0:0:0:0:
144,224,25071,1,0,0:0:0:0:
176,287,25221,1,0,0:0:0:0:
160,112,25971,5,4,1:1:0:0:
221,165,26121,1,0,0:0:0:0:
286,129,26271,1,0,0:0:0:0:
200,42,26421,1,0,0:0:0:0:
277,54,26571,1,0,0:0:0:0:
4,333,27171,5,4,1:1:0:0:
12,251,27321,1,0,0:0:0:0:
83,290,27471,1,0,0:0:0:0:
152,254,27621,1,0,0:0:0:0:
317,184,28371,5,4,1:1:0:0:
322,264,28521,1,0,0:0:0:0:
397,180,28671,1,0,0:0:0:0:
402,260,28821,1,0,0:0:0:0:
402,260,28971,1,0,0:0:0:0:
144,48,29421,5,0,0:0:0:0:
